Name,Score,Date
ASDF,9,04/05/2024 08:49:22 p. m.
SADFAS,5,04/05/2024 08:49:40 p. m.
ALE,12,04/05/2024 09:00:58 p. m.
ZALLY,0,04/05/2024 11:04:54 p. m.
ASDFSA,3,09/05/2024 12:22:38 p. m.
MARIO,13,09/05/2024 12:32:05 p. m.
ADSF,3,09/05/2024 12:32:17 p. m.
FDASF,20,09/05/2024 12:33:28 p. m.
ANGEL9,7,09/05/2024 10:51:10 p. m.
ANGELITO,6,09/05/2024 10:52:14 p. m.
ANGELITO1,23,09/05/2024 10:52:53 p. m.
MOMO,11,10/05/2024 12:07:48 a. m.
ANGELITO3,13,10/05/2024 12:23:15 a. m.
ANGELITO5,20,10/05/2024 12:35:20 a. m.
ANGELITO8,13,10/05/2024 12:38:46 a. m.
ANGELITO9,22,10/05/2024 12:41:26 a. m.
ANGEL986,16,10/05/2024 12:42:03 a. m.
ZALLY24,8,10/05/2024 12:43:03 a. m.
ZALL8,20,10/05/2024 12:43:48 a. m.
ZALLY78,33,10/05/2024 01:49:06 a. m.
ISRAEL221B,9,10/05/2024 01:49:32 a. m.
ISRAEL98,34,10/05/2024 01:50:32 a. m.
FRG,0,12/05/2024 01:14:16 a. m.
R,0,12/05/2024 01:26:07 a. m.
D,6,12/05/2024 01:28:43 a. m.
FG,7,12/05/2024 01:32:53 a. m.
FGHJ,12,12/05/2024 01:34:32 a. m.
G,0,12/05/2024 02:23:34 a. m.
DRT,0,12/05/2024 02:39:06 a. m.
AN,13,12/05/2024 03:11:09 a. m.
FGH,24,12/05/2024 03:14:17 a. m.
GFD,0,12/05/2024 03:16:37 a. m.
LIC HOUSE,100,12/05/2024 03:20:38 a. m.
SDF,0,12/05/2024 03:21:28 a. m.
ERFT,0,12/05/2024 03:24:35 a. m.
A,6,12/05/2024 02:45:00 p. m.
